episode,total_reward,rps,avg_reward_100,avg_rps_100,epsilon,loss
211,1.0285,1.0285,5.0198,0.1105,0.7215,0.18048
212,6.0047,0.1201,5.024,0.1106,0.7206,0.289145
213,2.5612,0.0512,5.0198,0.1105,0.7198,0.205918
214,4.3092,0.0862,5.0333,0.1107,0.7189,0.248914
215,5.6973,0.1139,5.0536,0.1112,0.7181,0.214811
216,7.1552,0.1431,5.0701,0.1115,0.7172,0.242293
217,4.4219,0.0884,5.0868,0.1118,0.7164,0.249587
218,5.7285,0.1146,5.1211,0.1125,0.7155,0.247803
219,4.8092,0.0962,5.1325,0.1127,0.7147,0.287195
220,3.2149,0.0643,5.1206,0.1125,0.7138,0.265241
221,5.802,0.116,5.1408,0.1129,0.713,0.225645
222,2.0584,0.0412,5.1136,0.1124,0.7121,0.227772
223,6.705,0.1341,5.1434,0.1129,0.7113,0.276259
224,4.5097,0.0902,5.1559,0.1132,0.7104,0.278458
225,4.5634,0.0913,5.157,0.1132,0.7096,0.27037
226,2.06,0.0412,5.1474,0.113,0.7087,0.24135
227,5.6369,0.1127,5.1535,0.1131,0.7079,0.28965
228,2.5911,0.0518,5.1585,0.1132,0.707,0.281133
229,2.4057,0.0481,5.1159,0.1124,0.7062,0.252148
230,3.6959,0.0739,5.1157,0.1124,0.7053,0.270126
231,4.9923,0.0998,5.1091,0.1123,0.7045,0.251578
232,2.565,0.0513,5.1124,0.1123,0.7036,0.256986
233,5.014,0.1003,5.023,0.1105,0.7028,0.2661
234,3.0161,0.0603,4.9896,0.1099,0.7019,0.270479
235,17.8586,0.3572,5.128,0.1126,0.7011,0.237272
236,12.6093,0.2522,5.2179,0.1144,0.7002,0.251442
237,3.7192,0.0744,5.1903,0.1139,0.6994,0.296505
238,3.3759,0.0675,5.1566,0.1132,0.6985,0.261073
239,6.1511,0.123,5.196,0.114,0.6977,0.287135
240,4.1775,0.0835,5.1626,0.1133,0.6968,0.298797
241,4.77,0.0954,5.1653,0.1134,0.696,0.264685
242,2.7667,0.0553,5.1532,0.1131,0.6951,0.285503
243,3.3425,0.0668,5.0948,0.112,0.6943,0.284639
244,2.8051,0.0561,5.065,0.1114,0.6934,0.257595
245,4.164,0.0833,5.0423,0.1109,0.6926,0.282687
246,13.2196,0.2644,5.0864,0.1118,0.6917,0.264129
247,5.8187,0.1164,5.0742,0.1116,0.6909,0.309751
248,2.1945,0.0439,5.0664,0.1114,0.69,0.302199
249,12.1186,0.2424,5.1575,0.1132,0.6892,0.279701
250,4.597,0.0919,5.1422,0.1129,0.6883,0.312806
251,2.3746,0.0475,5.1446,0.113,0.6875,0.310591
252,4.9907,0.0998,5.1698,0.1135,0.6866,0.336815
253,2.868,0.0574,5.152,0.1131,0.6858,0.250276
254,5.464,0.1093,5.1632,0.1133,0.6849,0.30944
255,4.3539,0.0871,5.0803,0.1117,0.6841,0.302144
256,3.3215,0.0664,5.0889,0.1119,0.6832,0.265037
257,3.8373,0.0767,5.0995,0.1121,0.6824,0.292788
258,4.3519,0.087,5.0357,0.1108,0.6815,0.314374
259,4.603,0.0921,5.0076,0.1102,0.6807,0.252379
260,3.4063,0.0681,4.934,0.1088,0.6798,0.309082
261,3.5111,0.0702,4.9227,0.1085,0.679,0.297198
262,3.4589,0.0692,4.9165,0.1084,0.6781,0.316
263,5.5294,0.1106,4.9373,0.1088,0.6773,0.359389
264,3.3476,0.067,4.9201,0.1085,0.6764,0.274146
265,3.1649,0.0633,4.8657,0.1074,0.6756,0.30606
266,2.9979,0.06,4.854,0.1072,0.6747,0.318528
267,5.7135,0.1143,4.8621,0.1073,0.6739,0.271397
268,2.8666,0.0573,4.8434,0.1069,0.673,0.284721
269,6.0127,0.1203,4.8446,0.107,0.6722,0.301163
270,5.2138,0.1043,4.8596,0.1073,0.6713,0.322083
271,3.1699,0.0634,4.7449,0.105,0.6705,0.267011
272,3.2427,0.0649,4.733,0.1047,0.6696,0.236232
273,6.4104,0.1282,4.7625,0.1053,0.6688,0.328689
274,8.7136,0.1743,4.8193,0.1065,0.6679,0.316038
275,2.143,0.0429,4.8104,0.1063,0.6671,0.347696
276,2.2545,0.0451,4.7762,0.1056,0.6662,0.346478
277,2.891,0.0578,4.7781,0.1056,0.6654,0.314223
278,5.1789,0.1036,4.7662,0.1054,0.6645,0.321414
279,4.87,0.0974,4.784,0.1058,0.6637,0.29235
280,5.4088,0.1082,4.8003,0.1061,0.6628,0.320564
281,3.5019,0.07,4.8161,0.1064,0.662,0.339652
282,7.2663,0.1453,4.7972,0.106,0.6611,0.30869
283,10.2316,0.2046,4.8677,0.1074,0.6603,0.362048
284,3.2087,0.0642,4.8601,0.1073,0.6594,0.385105
285,16.5729,0.3315,4.9253,0.1086,0.6586,0.343359
286,3.3739,0.0675,4.9038,0.1082,0.6577,0.339236
287,3.6711,0.0734,4.9116,0.1083,0.6569,0.357367
288,2.5839,0.0517,4.9202,0.1085,0.656,0.303431
289,4.95,0.099,4.9347,0.1088,0.6552,0.397744
290,6.1683,0.1234,4.8875,0.1078,0.6543,0.341814
291,4.2845,0.0857,4.9107,0.1083,0.6535,0.304979
292,3.0058,0.0601,4.8827,0.1077,0.6526,0.387529
293,4.6011,0.092,4.8914,0.1079,0.6518,0.32114
294,4.015,0.0803,4.9125,0.1083,0.6509,0.37795
295,2.2566,0.0451,4.8458,0.107,0.6501,0.332287
296,2.9101,0.0582,4.826,0.1066,0.6492,0.318788
297,4.6246,0.0925,4.8428,0.1069,0.6484,0.29052
298,9.2439,0.1849,4.8472,0.107,0.6475,0.336768
299,4.6721,0.0934,4.8085,0.1062,0.6467,0.325336
300,2.7474,0.0549,4.812,0.1063,0.6458,0.354892
301,3.875,0.0775,4.804,0.1062,0.645,0.337446
302,3.3438,0.0669,4.7861,0.1058,0.6441,0.327976
303,3.542,0.0708,4.7696,0.1055,0.6433,0.33581
304,4.8249,0.0965,4.7664,0.1054,0.6424,0.445997
305,12.4867,0.2497,4.7985,0.106,0.6416,0.351879
306,4.9013,0.098,4.8198,0.1065,0.6407,0.388872
307,4.3135,0.0863,4.8194,0.1065,0.6399,0.297002
308,2.9689,0.0594,4.8096,0.1063,0.639,0.336221
309,3.5979,0.072,4.8141,0.1064,0.6382,0.363556
310,5.2683,0.1054,4.8292,0.1067,0.6373,0.383231
311,4.3259,0.0865,4.8621,0.0972,0.6365,0.337806
312,4.5347,0.0907,4.8474,0.0969,0.6356,0.388322
313,2.6875,0.0538,4.8487,0.097,0.6348,0.346652
314,4.0185,0.0804,4.8458,0.0969,0.6339,0.363105
315,3.3943,0.0679,4.8228,0.0965,0.6331,0.377772
316,8.6417,0.1728,4.8376,0.0968,0.6322,0.347641
317,3.2382,0.0648,4.8258,0.0965,0.6314,0.352623
318,3.2657,0.0653,4.8012,0.096,0.6305,0.384638
319,3.5809,0.0716,4.7889,0.0958,0.6297,0.35462
320,2.9517,0.059,4.7862,0.0957,0.6288,0.415208
321,2.0592,0.0412,4.7488,0.095,0.628,0.355914
322,11.8604,0.2372,4.8468,0.0969,0.6271,0.385203
323,6.411,0.1282,4.8439,0.0969,0.6263,0.359305
324,9.8128,0.1963,4.8969,0.0979,0.6254,0.354289
325,6.4732,0.1295,4.916,0.0983,0.6246,0.394344
326,3.0258,0.0605,4.9257,0.0985,0.6237,0.38658
327,8.1466,0.1629,4.9508,0.099,0.6229,0.371566
328,5.3354,0.1067,4.9782,0.0996,0.622,0.357655
329,2.6567,0.0531,4.9807,0.0996,0.6212,0.363519
330,5.7191,0.1144,5.001,0.1,0.6203,0.387406
331,7.0392,0.1408,5.0214,0.1004,0.6195,0.319723
332,2.3523,0.047,5.0193,0.1004,0.6186,0.361161
333,4.8932,0.0979,5.0181,0.1004,0.6178,0.309375
334,2.7458,0.0549,5.0154,0.1003,0.6169,0.408453
335,17.8517,0.357,5.0153,0.1003,0.6161,0.417635
336,9.2704,0.1854,4.9819,0.0996,0.6152,0.350479
337,5.9945,0.1199,5.0047,0.1001,0.6144,0.361005
338,5.2723,0.1054,5.0237,0.1005,0.6135,0.361853
339,10.7903,0.2158,5.0701,0.1014,0.6127,0.353083
340,2.5468,0.0509,5.0537,0.1011,0.6118,0.364867
341,10.5262,0.2105,5.1113,0.1022,0.611,0.389352
342,4.9553,0.0991,5.1332,0.1027,0.6101,0.339678
343,7.1084,0.1422,5.1709,0.1034,0.6093,0.378652
344,2.1396,0.0428,5.1642,0.1033,0.6084,0.438755
345,6.8546,0.1371,5.1911,0.1038,0.6076,0.386737
346,11.8966,0.2379,5.1779,0.1036,0.6067,0.389488
347,8.772,0.1754,5.2074,0.1041,0.6059,0.352211
348,5.6627,0.1133,5.2421,0.1048,0.605,0.385506
349,3.8472,0.0769,5.1594,0.1032,0.6042,0.459633
350,3.9732,0.0795,5.1531,0.1031,0.6033,0.445617
351,3.5838,0.0717,5.1652,0.1033,0.6025,0.381121
352,8.063,0.1613,5.196,0.1039,0.6016,0.41655
353,21.5928,0.4319,5.3832,0.1077,0.6008,0.35355
354,4.1428,0.0829,5.37,0.1074,0.5999,0.45607
355,3.944,0.0789,5.3659,0.1073,0.5991,0.4352
356,3.2938,0.0659,5.3656,0.1073,0.5982,0.454935
357,5.948,0.119,5.3867,0.1077,0.5974,0.370331
358,2.5118,0.0502,5.3683,0.1074,0.5965,0.355433
359,3.511,0.0702,5.3574,0.1071,0.5957,0.371504
360,5.9738,0.1195,5.3831,0.1077,0.5948,0.41006
361,7.645,0.1529,5.4244,0.1085,0.594,0.433423
362,4.3278,0.0866,5.4331,0.1087,0.5931,0.370835
363,7.0273,0.1405,5.4481,0.109,0.5923,0.369968
364,3.4671,0.0693,5.4493,0.109,0.5914,0.419668
365,4.1689,0.0834,5.4593,0.1092,0.5906,0.406003
366,5.4918,0.1098,5.4843,0.1097,0.5897,0.336568
367,3.3302,0.0666,5.4604,0.1092,0.5889,0.342826
368,14.6659,0.2933,5.5784,0.1116,0.588,0.372434
369,6.5807,0.1316,5.5841,0.1117,0.5872,0.374598
370,4.0258,0.0805,5.5722,0.1114,0.5863,0.378903
371,4.8563,0.0971,5.5891,0.1118,0.5855,0.413049
372,4.5561,0.0911,5.6022,0.112,0.5846,0.37445
373,3.7512,0.075,5.5756,0.1115,0.5838,0.328754
374,6.5728,0.1315,5.5542,0.1111,0.5829,0.309268
375,3.8683,0.0774,5.5715,0.1114,0.5821,0.402877
376,2.3225,0.0465,5.5721,0.1114,0.5812,0.407055
377,4.2036,0.0841,5.5853,0.1117,0.5804,0.376114
378,9.9322,0.1986,5.6328,0.1127,0.5795,0.39133
379,6.0381,0.1208,5.6445,0.1129,0.5787,0.354312
380,15.5875,0.3117,5.7463,0.1149,0.5778,0.319959
381,8.1245,0.1625,5.7925,0.1158,0.577,0.466772
382,4.1693,0.0834,5.7615,0.1152,0.5761,0.36249
383,2.6941,0.0539,5.6862,0.1137,0.5753,0.410549
384,6.1263,0.1225,5.7153,0.1143,0.5744,0.375503
385,14.8792,0.2976,5.6984,0.114,0.5736,0.448736
386,4.9307,0.0986,5.714,0.1143,0.5727,0.388908
387,4.8767,0.0975,5.726,0.1145,0.5719,0.39477
388,3.8646,0.0773,5.7388,0.1148,0.571,0.402809
389,15.6807,0.3136,5.8461,0.1169,0.5702,0.440758
